error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33197','Basigochi','Guachochi',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33197','El Manzano','Guachochi',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33197','Basigochi','Guachochi',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33198','Nacabeachi','Guachochi',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33198','Yepo','Guachochi',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33485','La Ciénega','Guadalupe y Calvo',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33485','El Ranchito','Guadalupe y Calvo',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33576','La Joya','Balleza',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33593','San Martín','Santa Bárbara',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33637','La Esperanza','Saucillo',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33637','San José','Saucillo',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33970','El Carmen','Jiménez',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33970','Guadalupe','Jiménez',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33970','San Miguel','Jiménez',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33970','San Luis','Jiménez',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('33970','San Isidro','Jiménez',08,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34544','La Cieneguita','Topia',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34670','Cuevecillas','San Dimas',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34674','El Pueblo','San Dimas',10,28);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34675','La Vinata','San Dimas',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34675','El Ranchito','San Dimas',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34687','Rancho Nuevo','San Dimas',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34694','El Zapote','San Dimas',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34956','El Terrero','Pueblo Nuevo',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34963','La Ciénega','Pueblo Nuevo',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34967','El Carrizo','Pueblo Nuevo',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34967','El Carrizo','Pueblo Nuevo',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34967','El Maguey','Pueblo Nuevo',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34967','El Ojo de Agua','Pueblo Nuevo',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('34985','La Guajolota','Mezquital',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('35635','La Cebadilla','Tepehuanes',10,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('36294','El Recuerdo','Silao de la Victoria',11,15);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('37897','San Antonio','San Miguel de Allende',11,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('37897','San Rafael','San Miguel de Allende',11,27);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('42354','Taxthó','Zimapán',13,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('51980','San Miguel','Zumpahuacán',15,02);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('71117','El Mirador','Santa María Yucuhiti',20,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('71366','San Isidro','Santa Cruz Zenzontepec',20,02);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('71997','El Porvenir','San Pedro Mixtepec -Dto. 22 -',20,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('75150','San José','Acatzingo',21,02);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('77689','CALICA','Cozumel',23,46);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('78400','Rancho Lourdes','San Luis Potosí',24,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('78930','La Puerta','Venado',24,28);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('79938','La Purísima','Axtla de Terrazas',24,15);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('83177','San Bosco','Hermosillo',26,21);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('83300','El Alamito','Hermosillo',26,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('83303','San Martín','Hermosillo',26,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('83303','Santa Martha','Hermosillo',26,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('83303','Santa Rosa','Hermosillo',26,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('83310','Las Víboras','Hermosillo',26,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('83333','El Triunfo','Hermosillo',26,15);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('83723','Viñedos Viva','Caborca',26,15);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('85773','La Higuera','Alamos',26,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('90225','San Isidro','Calpulalpan',29,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('90298','San Antonio','Españita',29,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('90414','El Ocote','Atlangatepec',29,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('90435','El Prado','Tetla de la Solidaridad',29,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('90446','Las Cañadas','San Lucas Tecopilco',29,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('95835','José Castellanos','Santiago Tuxtla',30,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('95835','Rancho Oliveros','Santiago Tuxtla',30,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('95835','Santa Elena','Santiago Tuxtla',30,27);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('95836','El Zapote','Santiago Tuxtla',30,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('95837','Abelino Lagunes','Santiago Tuxtla',30,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('95854','Campo Nuevo','Hueyapan de Ocampo',30,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('95866','El Porvenir','Hueyapan de Ocampo',30,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('96300','San Lorenzo','Jáltipan',30,11);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('96300','Mi Ranchito','Jáltipan',30,29);
error en : INSERT INTO IMPORTCP ( D_CODIGO, D_ASENTA, D_MNPIO, C_ESTADO, C_TIPO_ASENTA) VALUES ('96995','Las Marías','Las Choapas',30,15);
